	Similarity Measure, Method, k, MAE, MAE_NA, %NA
Cosine Similarity, NN-RST, 3, 0.7946684,  0.763539, 0.0391729
Pearson Correlation - PWC, NN-RST, 3,  0.884267,  0.849233, 0.0396192
Pearson Correlation - IZ, NN-RST, 3, 1.2908054, 1.2403048, 0.0391233
LiRa - Uniform, NN-RST, 3, 0.8076918, 0.7660396, 0.0515694
LiRa - Gaussian, NN-RST, 3, 0.8160572,  0.783928, 0.0393713
LiRa - LogGaussian, NN-RST, 3, 0.9143286, 0.8783303, 0.0393713
Cosine Similarity,    kNN, 3, 0.7932062, 0.7621734, 0.0391233
Pearson Correlation - PWC,    kNN, 3, 0.8201759, 0.7876812, 0.0396192
Pearson Correlation - IZ,    kNN, 3, 0.7990548, 0.7677931, 0.0391233
LiRa - Uniform,    kNN, 3, 0.8052854, 0.7637973, 0.0515198
LiRa - Gaussian,    kNN, 3,  0.802285,  0.770698, 0.0393713
LiRa - LogGaussian,    kNN, 3,  0.802285,  0.770698, 0.0393713
Cosine Similarity, NN-RST, 5, 0.7697192,  0.739567, 0.0391729
Pearson Correlation - PWC, NN-RST, 5, 0.8712272, 0.8367099, 0.0396192
Pearson Correlation - IZ, NN-RST, 5, 1.3333509, 1.2811858, 0.0391233
LiRa - Uniform, NN-RST, 5, 0.7848085, 0.7443364, 0.0515694
LiRa - Gaussian, NN-RST, 5, 0.7832407, 0.7524035, 0.0393713
LiRa - LogGaussian, NN-RST, 5, 0.9159063, 0.8798459, 0.0393713
Cosine Similarity,    kNN, 5, 0.7690899, 0.7390006, 0.0391233
Pearson Correlation - PWC,    kNN, 5, 0.7798603, 0.7489628, 0.0396192
Pearson Correlation - IZ,    kNN, 5, 0.7694305, 0.7393279, 0.0391233
LiRa - Uniform,    kNN, 5,  0.782631,   0.74231, 0.0515198
LiRa - Gaussian,    kNN, 5, 0.7708469, 0.7404977, 0.0393713
LiRa - LogGaussian,    kNN, 5, 0.7708469, 0.7404977, 0.0393713
Cosine Similarity, NN-RST, 7, 0.7577857,  0.728101, 0.0391729
Pearson Correlation - PWC, NN-RST, 7, 0.8777629, 0.8429867, 0.0396192
Pearson Correlation - IZ, NN-RST, 7, 1.3549011, 1.3018928, 0.0391233
LiRa - Uniform, NN-RST, 7, 0.7737018, 0.7338025, 0.0515694
LiRa - Gaussian, NN-RST, 7, 0.7696794, 0.7393761, 0.0393713
LiRa - LogGaussian, NN-RST, 7, 0.9293633, 0.8927731, 0.0393713
Cosine Similarity,    kNN, 7,  0.757976, 0.7283214, 0.0391233
Pearson Correlation - PWC,    kNN, 7, 0.7661039, 0.7357515, 0.0396192
Pearson Correlation - IZ,    kNN, 7, 0.7585068, 0.7288315, 0.0391233
LiRa - Uniform,    kNN, 7, 0.7706924, 0.7309865, 0.0515198
LiRa - Gaussian,    kNN, 7, 0.7598909, 0.7299731, 0.0393713
